ID,pH_STP,pH,Cl-,SO4,HCO3,H2S,SiO2,As,Sb,B,Ca,Fe,K,Li,Mg,Mn,Al,Na,Zn,Mo,Ni,Cd,Ti,Cu,Sr
SAE2_22,7.56,7.09,0.024682652,0.004341037,0.000589971,1.35E-06,0.012494158,2.40E-05,8.95E-07,0.003432285,0.000614072,1.79E-07,0.002669207,0.000729827,5.55E-06,0,0,0.031113397,8.26E-07,0,1.43E-06,2.05E-07,5.01E-07,0,9.59E-07
SAE2_23,7.52,7.03,0.024428773,0.004372267,0.000524418,1.38E-06,0.012443142,2.33E-05,8.13E-07,0.00359371,0.000597505,5.37E-07,0.002589591,0.000739914,5.22E-06,0,0,0.031367725,0,9.44E-06,2.25E-06,0,0,0,9.13E-07
SAE2_24,7.49,7.04,0.02448519,0.004382677,0.000557194,1.82E-06,0.012566112,2.35E-05,8.34E-07,0.0034963,0.000570883,1.31E-06,0.002547877,0.000726657,4.90E-06,0,0,0.030871509,0,2.03E-06,6.13E-07,6.23E-08,0,0,8.67E-07
SAE2_25,7.44,6.98,0.024541608,0.004382677,0.000524418,1.44E-06,0.012576681,2.38E-05,8.30E-07,0.003606105,0.000557011,1.15E-06,0.002562123,0.000734438,6.38E-06,0,0,0.031192214,0,0,1.81E-06,2.85E-07,-8.36E-08,0,8.79E-07
SAE2_26,7.42,6.98,0.024400564,0.004361857,0.00050803,1.26E-06,0.012528395,2.31E-05,8.46E-07,0.003545791,0.00054516,1.07E-06,0.002571611,0.000746542,5.92E-06,0,0,0.031081688,0,0,7.84E-07,8.01E-08,0,0,9.02E-07
SAE2_27,7.44,6.96,0.024428773,0.004413908,0.000458866,1.67E-06,0.012488881,2.39E-05,9.86E-07,0.003571323,0.000524476,1.16E-06,0.002554757,0.000731412,6.79E-06,0,0,0.03135672,0,0,9.71E-07,3.56E-08,3.55E-07,0,8.90E-07
SAE2_28,7.34,6.91,0.024428773,0.004372267,0.000442478,1.35E-06,0.012649351,2.39E-05,1.03E-06,0.003541166,0.000515993,1.00E-06,0.002581253,0.000731556,7.49E-06,0,0,0.031280731,0,0,1.43E-06,1.16E-07,0,0,8.90E-07
SAE2_29,7.28,6.93,0.024428773,0.004393088,0.000491642,1.17E-06,0.012511518,2.26E-05,9.61E-07,0.003560222,0.00048004,1.09E-06,0.002502967,0.000713401,8.72E-06,0,0,0.030251718,0,2.22E-06,5.96E-07,0,0,0,8.22E-07
SAE2_30,7.2,6.87,0.024400564,0.004372267,0.000458866,8.80E-07,0.01253968,2.14E-05,1.04E-06,0.00356568,0.000515294,0,0.002721714,0.000761095,1.04E-05,1.82E-07,0,0.033225533,9.02E-07,1.27E-05,6.82E-08,2.31E-07,1.46E-07,0,9.02E-07
SAE2_31,7.22,6.91,0.024456982,0.004393088,0.000573582,1.17E-06,0.012508938,2.10E-05,9.74E-07,0.00359667,0.000483184,0,0.002709719,0.000766571,1.09E-05,1.64E-07,0,0.032844454,2.43E-06,2.18E-05,8.18E-07,4.98E-07,-4.18E-08,0,8.79E-07
