ID,pH_STP,pH,Cl-,SO4,HCO3,H2S,SiO2,As,Sb,B,Ca,Fe,K,Li,Mg,Mn,Al,Na,Zn,Mo,Ni,Cd,Ti,Cu,Sr
SAE2_Blank 1,4.4,4.4,0.024456982,0.004351447,,1.43E-05,0.013991927,2.30E-05,8.87E-07,0.003726272,6.58E-05,9.85E-07,0.002599309,0.000747118,1.15E-06,3.28E-07,5.74E-05,0.030965507,0,0,0,2.67E-07,0,0,8.10E-07
SAE2_Blank 2,4.16,4.16,0.024315938,0.004341037,,0,0.014135553,2.35E-05,8.87E-07,0.003624422,6.47E-05,9.13E-07,0.002604373,0.000741499,8.64E-07,3.64E-07,5.70E-05,0.030794302,0,0,0,4.71E-07,0,0,8.22E-07
SAE2_Blank 3,4.17,4.17,0.024739069,0.004424318,,0,0.014190529,2.33E-05,1.49E-06,0.003623959,6.52E-05,1.24E-06,0.002629284,0.000739625,9.46E-07,2.37E-07,5.59E-05,0.030947064,0,0,0,3.38E-07,0,0,8.33E-07
SAE2_Blank 4,4.19,4.19,0.02448519,0.004372267,,0,0.01427976,2.29E-05,1.15E-06,0.00356975,7.09E-05,4.48E-07,0.002617391,0.00073487,1.36E-06,1.27E-07,5.84E-05,0.031611657,0,0,0,2.49E-07,0,-6.29E-08,8.67E-07
SAE2_Blank 5,4.16,4.16,0.024569817,0.004361857,,0,0.014085619,2.24E-05,1.20E-06,0.00350148,6.95E-05,1.13E-06,0.002733708,0.000760375,1.48E-06,1.46E-07,5.96E-05,0.031415789,0,0,1.26E-06,8.90E-08,0,0,8.56E-07
Average,4.216,4.216,0.024513399,0.004370185,0,2.85E-06,0.014136678,2.30E-05,1.12E-06,0.003609177,6.72E-05,9.42E-07,0.002636813,0.000744697,1.16E-06,2.40E-07,5.77E-05,0.031146864,0,0,2.52E-07,2.83E-07,0,-1.26E-08,8.38E-07
SAE2_01,7.77,7.8,0.024090268,0.004184884,0.000721075,8.80E-07,0.013766295,3.19E-05,2.46E-08,0.003689269,0.000903343,5.14E-06,0.002195934,0.000682853,8.21E-05,1.82E-06,5.57E-05,0.028630231,2.38E-05,3.86E-06,2.34E-05,1.33E-07,4.60E-07,4.15E-06,2.84E-06
SAE2_02,7.8,7.8,0.02448519,0.004372267,0.000704687,5.87E-07,0.014077613,2.63E-05,1.97E-07,0.003662257,0.000755813,6.46E-06,0.002521867,0.000705908,2.52E-05,1.71E-06,6.19E-05,0.031185994,1.31E-05,0,7.57E-06,1.42E-07,1.88E-07,3.79E-06,1.64E-06
SAE2_03,7.73,7.7,0.024428773,0.004361857,0.000671911,5.87E-07,0.014209687,2.62E-05,1.31E-07,0.003718409,0.000729391,6.09E-06,0.002618696,0.000713401,1.85E-05,1.44E-06,5.74E-05,0.030892171,1.32E-05,-4.48E-07,5.28E-06,2.67E-07,0,3.56E-06,1.39E-06
SAE2_04,7.44,7.1,0.023300423,0.004132834,0.001114389,5.11E-06,0.011138182,2.86E-05,3.45E-07,0.00413025,0.001226846,5.01E-06,0.002812379,0.000720461,2.50E-05,5.82E-07,2.51E-05,0.031020444,6.35E-06,0,3.08E-06,4.27E-07,2.72E-07,4.67E-06,3.89E-06
SAE2_05,7.73,7.19,0.02471086,0.004403498,0.000901344,1.64E-06,0.012516711,2.55E-05,0,0.003651249,0.000715544,1.63E-06,0.00266289,0.000694524,5.18E-06,2.73E-07,8.90E-07,0.031118747,1.90E-06,0,4.41E-06,2.49E-07,1.25E-07,1.16E-06,2.39E-06
SAE2_06,7.79,7.24,0.024513399,0.004382677,0.000819403,1.53E-06,0.012506941,2.39E-05,0,0.003806753,0.000758932,1.40E-06,0.002619719,0.000697695,4.77E-06,2.55E-07,0,0.031284385,2.89E-06,0,2.08E-06,4.18E-07,3.13E-07,1.16E-06,2.13E-06
SAE2_07,7.8,7.24,0.024598025,0.004413908,0.000819403,1.47E-06,0.012495273,2.34E-05,0,0.003734598,0.000742066,1.11E-06,0.00263509,0.00070389,3.54E-06,2.00E-07,0,0.031302175,1.88E-06,1.44E-06,3.75E-07,4.63E-07,6.27E-08,5.82E-07,1.67E-06
SAE2_08,7.8,7.23,0.024513399,0.004382677,0.000753851,1.41E-06,0.012520756,2.38E-05,0,0.00369963,0.000736252,1.09E-06,0.002636726,0.000708213,4.28E-06,1.82E-07,0,0.031304002,3.00E-06,0,1.74E-06,4.36E-07,0,8.65E-07,1.36E-06
SAE2_09,7.77,7.23,0.02448519,0.004361857,0.000737463,1.44E-06,0.012579727,2.40E-05,0,0.003682979,0.000737176,1.18E-06,0.002700128,0.00072464,3.09E-06,4.00E-07,0,0.030941583,1.68E-06,0,2.73E-07,2.67E-07,2.30E-07,3.62E-07,1.26E-06
SAE2_10,7.73,7.17,0.02448519,0.004393088,0.000770239,1.09E-06,0.012580276,2.39E-05,0,0.003693802,0.000725,1.27E-06,0.002578849,0.000691931,4.07E-06,2.91E-07,0,0.030892866,2.32E-06,0,0,3.56E-07,2.51E-07,2.68E-07,1.22E-06
SAE2_11,7.78,7.23,0.024400564,0.004361857,0.000737463,1.56E-06,0.012483356,2.43E-05,0,0.003612118,0.000740245,9.49E-07,0.002591304,0.000692075,3.70E-06,3.09E-07,0,0.031253067,2.74E-06,5.04E-06,8.35E-07,2.85E-07,0,5.51E-07,1.19E-06
SAE2_12,7.77,7.23,0.024513399,0.004403498,0.000721075,1.83E-06,0.01235536,2.24E-05,0,0.003310176,0.000754765,4.12E-07,0.002633657,0.000746974,3.83E-06,1.27E-07,0,0.031012484,2.29E-06,0,7.16E-07,3.83E-07,7.94E-07,1.10E-06,1.19E-06
SAE2_13,7.73,7.17,0.024513399,0.004403498,0.000721075,9.98E-07,0.012390796,2.40E-05,0,0.003415079,0.000757984,5.19E-07,0.002688312,0.000731369,4.44E-06,1.82E-08,0,0.031069334,2.71E-06,6.97E-06,1.33E-06,4.09E-07,7.52E-07,7.40E-07,1.26E-06
SAE2_14,7.73,7.17,0.024456982,0.004393088,0.000704687,1.29E-06,0.01258527,2.30E-05,0,0.003410731,0.000731412,0,0.002608542,0.000747983,3.99E-06,0,0,0.031270422,1.25E-06,0,1.94E-06,1.96E-07,1.09E-06,1.26E-07,1.05E-06
SAE2_15,7.69,7.15,0.024569817,0.004361857,0.000639135,2.44E-06,0.012406059,2.28E-05,8.21E-08,0.003448104,0.000758583,1.79E-08,0.00261399,0.000731167,4.32E-06,0,0,0.030938886,1.67E-06,7.89E-06,1.96E-06,1.51E-07,4.60E-07,0,1.27E-06
SAE2_16,7.7,7.15,0.024569817,0.004382677,0.000639135,1.50E-06,0.012384387,2.40E-05,1.72E-07,0.003487974,0.000711402,0,0.002635985,0.000753314,4.24E-06,0,0,0.030911527,1.24E-06,1.75E-05,0,4.63E-07,2.51E-07,0,1.03E-06
SAE2_17,7.72,7.16,0.024541608,0.004372267,0.000688299,1.58E-06,0.012399467,2.35E-05,1.40E-07,0.003489454,0.000705339,0,0.002692711,0.000760951,4.40E-06,0,0,0.031236581,1.84E-06,0,1.50E-06,6.76E-07,4.60E-07,0,1.00E-06
SAE2_18,7.71,7.15,0.02448519,0.004372267,0.000622747,1.35E-06,0.012532407,2.35E-05,1.64E-07,0.003542091,0.000683832,0,0.002686931,0.000753746,3.50E-06,0,0,0.030940365,6.27E-07,1.33E-05,2.74E-06,4.00E-07,3.76E-07,0,1.02E-06
SAE2_19,7.72,7.15,0.024428773,0.004382677,0.000622747,1.61E-06,0.012586668,2.35E-05,1.64E-07,0.003543386,0.00067253,0,0.002658031,0.000755476,3.95E-06,0,0,0.031120661,9.18E-07,2.97E-06,7.16E-07,2.94E-07,-8.36E-08,0,9.93E-07
SAE2_20,7.68,7.14,0.024569817,0.004382677,0.000557194,1.56E-06,0.01255764,2.29E-05,2.46E-07,0.003492507,0.000654616,0,0.002672327,0.000733862,4.73E-06,0,0,0.031068291,6.12E-07,2.94E-06,7.67E-07,4.27E-07,4.80E-07,0,9.82E-07
SAE2_21,7.65,7.15,0.024598025,0.004403498,0.000639135,1.41E-06,0.012483855,2.35E-05,4.02E-07,0.003478446,0.000637375,0,0.002679616,0.000729971,5.06E-06,0,0,0.030950326,0,0,3.41E-07,1.69E-07,5.64E-07,0,9.59E-07
