ID,pH_STP,pH,Cl-,SO4,HCO3,H2S,SiO2,As,Sb,B,Ca,Fe,K,Li,Mg,Mn,Al,Na,Zn,Mo,Ni,Cd,Ti,Cu,Sr
SAE4_Blank 1,4.4,,0.024456982,0.004351447,#VALUE!,1.43E_05,0.013898136,2.30E_05,8.87E_07,0.003726272,6.58E_05,9.85E_07,0.002599309,0.000747118,1.15E_06,3.28E_07,5.74E_05,0.030965507,0,0,0,2.67E_07,0,0,8.10E_07
SAE4_Blank 2,4.08,,0.024541608,0.004393088,0,0,0.013814913,2.24E_05,1.63E_06,0.003209713,5.89E_05,2.86E_07,0.002548312,0.000662392,2.06E_07,2.37E_07,5.73E_05,0.031487038,1.22E_07,2.30E_05,1.87E_07,1.60E_07,0,0,6.96E_07
SAE4_Blank 3,4.05,,0.024287729,0.004382677,0,0,0.013814913,2.08E_05,9.94E_07,0.003628955,6.51E_05,8.24E_07,0.002561611,0.00073804,1.23E_07,1.46E_07,5.19E_05,0.031343367,0,1.07E_05,2.56E_07,3.74E_07,0,1.57E_08,7.99E_07
SAE4_Blank 4,4,,0.024428773,0.004361857,0,0,0.013365513,0,0,0.003379278,7.40E_05,2.35E_06,0.002685882,0.00085634,1.81E_06,7.28E_08,6.04E_05,0.031885167,0,3.43E_06,5.28E_07,2.94E_07,0,1.42E_07,8.67E_07
Average,4.1325,,0.024428773,0.004372267,0,7.13E_06,0.013723369,2.21E_05,1.17E_06,0.003486055,6.59E_05,1.11E_06,0.002598779,0.000750973,8.23E_07,1.96E_07,5.67E_05,0.03142027,3.06E_08,9.28E_06,2.43E_07,2.74E_07,0,3.93E_08,7.93E_07
SAE4_01,6.35,6.4,0.024456982,0.004382677,0.003638151,1.96E_06,0.012282773,2.19E_05,5.58E_07,0.003423682,0.002966816,3.99E_06,0.00228977,0.000741931,0.000108268,2.22E_06,5.13E_05,0.031433145,3.01E_06,5.20E_06,3.37E_06,0,0,1.64E_06,2.89E_06
SAE4_02,6.25,6.3,0.024456982,0.004382677,0.006850213,2.19E_06,0.012853029,2.14E_05,3.78E_07,0.003653099,0.001970783,1.34E_06,0.00264757,0.000750288,2.77E_05,2.68E_06,3.48E_05,0.031583819,3.93E_06,1.01E_05,8.69E_07,1.69E_07,1.04E_07,1.21E_06,1.69E_06
SAE4_03,6.26,6.3,0.024372355,0.004403498,0.010111439,2.04E_06,0.012865962,2.21E_05,2.05E_07,0.003569288,0.001798029,1.34E_06,0.002696368,0.000763401,1.64E_05,1.73E_06,3.45E_05,0.031437016,5.81E_07,3.24E_05,6.30E_07,6.49E_07,_8.36E_08,3.15E_07,1.39E_06
SAE4_04,6.1,6.43,0.024541608,0.004393088,0.00993117,2.08E_06,0.012852197,2.21E_05,2.08E_06,0.003541258,0.001564945,3.94E_07,0.002664757,0.000754323,0.000150432,1.67E_06,0,0.031744454,1.35E_06,3.46E_05,0,3.20E_07,_4.18E_08,7.87E_07,4.05E_06
SAE4_05,6.02,6.32,0.024456982,0.004361857,0.003965913,1.92E_06,0.012940646,2.21E_05,1.11E_06,0.0035,0.001476422,1.79E_07,0.002689514,0.000744092,0.000106129,1.18E_06,0,0.031452632,1.76E_06,6.60E_06,0,3.11E_07,0,7.40E_07,2.74E_06
