ID,pH_STP,pH,Cl-,SO4,HCO3,H2S,SiO2,As,Sb,B,Ca,Fe,K,Li,Mg,Mn,Al,Na,Zn,Mo,Ni,Cd,Ti,Cu,Sr
SAE3_Blank 1,4.4,4.4,0.024456982,0.004351447,,1.43E-05,0.013991927,2.30E-05,8.87E-07,0.003726272,6.58E-05,9.85E-07,0.002599309,0.000747118,1.15E-06,3.28E-07,5.74E-05,0.030965507,0,0,0,2.67E-07,0,0,8.10E-07
SAE3_Blank 2,3.88,3.88,0.024626234,0.004351447,0.014970764,0,0.014043159,2.29E-05,8.13E-07,0.003456429,6.94E-05,2.15E-07,0.002669974,0.000726225,9.05E-07,1.82E-07,6.34E-05,0.03134863,6.27E-07,1.95E-06,0,1.51E-07,8.36E-08,-4.72E-08,8.67E-07
SAE3_Blank 3,3.89,3.89,0.024541608,0.004393088,0,0,0.013901132,2.24E-05,1.63E-06,0.003209713,5.89E-05,2.86E-07,0.002548312,0.000662392,2.06E-07,2.37E-07,5.73E-05,0.031487038,1.22E-07,2.30E-05,1.87E-07,1.60E-07,0,0,6.96E-07
SAE3_Blank 4,3.78,3.78,0.02448519,0.004372267,0,0,0.013775499,2.09E-05,1.49E-06,0.00403358,7.19E-05,-3.58E-08,0.002853657,0.000818156,1.23E-07,1.27E-07,5.90E-05,0.031385341,7.49E-07,2.22E-05,0,3.02E-07,1.25E-07,1.10E-07,8.90E-07
SAE3_Blank 5,3.83,3.83,0.024569817,0.004361857,0,0,0.013795672,2.04E-05,1.85E-06,0.003429047,6.79E-05,8.24E-07,0.00268422,0.000805908,1.23E-06,2.00E-07,6.07E-05,0.03410348,0,2.29E-05,0,1.33E-07,4.18E-08,0,7.65E-07
Average,3.956,3.956,0.024535966,0.004366021,0.014970764,7.13E-06,0.013901478,2.19E-05,1.33E-06,0.003571008,6.68E-05,4.55E-07,0.002671095,0.00075196,7.24E-07,2.15E-07,5.96E-05,0.031857999,3.00E-07,1.40E-05,3.75E-08,2.03E-07,5.01E-08,1.26E-08,8.06E-07
SAE3_01,5.83,5.8,0.022538787,0.003997502,0.018944608,1.45E-06,0.012547071,2.04E-05,1.09E-06,0.003219056,0.006825948,1.04E-05,0.002126061,0.000685735,0.000158659,1.08E-05,6.16E-05,0.029263462,3.53E-06,0,5.30E-06,0,0,4.09E-06,4.94E-06
SAE3_02,5.72,5.7,0.024287729,0.004299396,0.018698787,1.49E-06,0.013662716,2.19E-05,1.56E-07,0.00346938,0.005773678,1.11E-05,0.00264555,0.000754035,4.73E-05,5.62E-06,4.86E-05,0.032627447,2.14E-06,0,4.52E-06,0,0,2.77E-06,2.74E-06
SAE3_03,5.72,5.7,0.02425952,0.004309806,0.015552278,1.45E-06,0.013674717,2.16E-05,3.61E-07,0.003510546,0.005311976,1.03E-05,0.002543069,0.000737464,3.41E-05,4.61E-06,4.31E-05,0.03132114,1.18E-06,0,3.37E-06,0,0,1.54E-06,2.16E-06
SAE3_04,5.53,5.84,0.024118477,0.004309806,0.018157981,1.57E-06,0.013479178,2.18E-05,1.89E-06,0.003621554,0.002396557,1.81E-06,0.002679028,0.000722622,0.000349445,9.74E-06,1.48E-06,0.031144933,3.14E-06,0,3.00E-06,0,0,1.42E-06,5.06E-06
