ID,pH_STP,pH,Cl-,SO4,HCO3,H2S,SiO2,As,Sb,B,Ca,Fe,K,Li,Mg,Mn,Al,Na,Zn,Mo,Ni,Cd,Ti,Cu,Sr
SAE3_05,5.38,5.74,0.024174894,0.004320217,0.017764667,1.24E-06,0.013557756,2.19E-05,8.54E-07,0.003424977,0.002346357,3.31E-06,0.002637545,0.000732997,0.00024204,1.03E-05,5.19E-07,0.030981296,3.82E-06,0,4.09E-06,0,0,1.26E-06,3.00E-06
SAE3_06,5.35,5.74,0.02425952,0.004341037,0.012438545,1.33E-06,0.013573286,2.21E-05,1.45E-06,0.003510638,0.002321233,3.08E-06,0.002575934,0.000736311,0.000169395,9.50E-06,5.93E-07,0.03119913,4.17E-06,0,3.58E-06,0,0,1.07E-06,1.94E-06
SAE3_07,5.33,5.64,0.024146685,0.004320217,0.017502458,1.21E-06,0.013594424,2.16E-05,1.08E-06,0.003504163,0.002284331,3.99E-06,0.002632992,0.000721326,0.000131263,9.96E-06,0,0.031273684,4.28E-06,5.77E-06,3.54E-06,0,0,7.40E-07,1.54E-06
SAE3_08,5.41,5.74,0.024174894,0.004309806,0.018715175,1.56E-06,0.013663282,2.25E-05,1.33E-06,0.003492692,0.002383533,3.87E-06,0.002547008,0.000729683,0.000146442,1.20E-05,0,0.030932884,3.24E-06,0,5.35E-06,0,0,4.41E-07,1.60E-06
SAE3_09,5.32,5.64,0.024626234,0.004351447,0.025762045,1.41E-06,0.01363472,2.17E-05,5.26E-07,0.003342091,0.002127246,4.71E-06,0.002556266,0.000727233,0.000105677,1.07E-05,1.82E-06,0.030977947,2.52E-06,0,4.92E-06,0,0,3.93E-07,1.27E-06
SAE3_10,5.32,5.64,0.024231312,0.004361857,0.022533596,1.43E-06,0.013633522,2.20E-05,5.42E-07,0.003315726,0.001996457,5.12E-06,0.002614655,0.00074487,9.32E-05,1.07E-05,2.59E-06,0.031288386,2.02E-06,0,4.65E-06,0,0,5.98E-07,1.16E-06
SAE3_11,5.3,5.64,0.024372355,0.004403498,0.02495903,1.77E-06,0.013613715,2.33E-05,6.08E-07,0.003334135,0.001963124,6.27E-06,0.002653581,0.000723487,8.42E-05,1.05E-05,1.30E-06,0.031216703,1.53E-06,0,4.67E-06,0,0,5.98E-07,1.06E-06
SAE3_12,5.39,5.74,0.024541608,0.004424318,0.01460177,1.96E-06,0.013599051,2.14E-05,8.13E-07,0.00333432,0.001946108,8.72E-06,0.002591816,0.000739193,8.77E-05,1.20E-05,0,0.031108308,2.36E-06,1.77E-07,2.04E-06,8.01E-08,4.60E-07,3.15E-07,1.14E-06
SAE3_13,5.3,5.64,0.02425952,0.004288986,0.030170436,1.96E-06,0.013567027,2.16E-05,1.08E-06,0.003332562,0.001683882,1.17E-05,0.002567033,0.000735735,7.93E-05,1.10E-05,0,0.031295911,1.48E-06,1.82E-06,1.18E-06,2.22E-07,0,1.57E-07,1.06E-06
SAE3_14,5.19,5.55,0.023667137,0.004320217,0.036479843,2.04E-06,0.013518842,2.19E-05,1.40E-06,0.003404625,0.001563074,2.01E-05,0.002588184,0.000747983,8.12E-05,1.19E-05,0,0.031057982,3.65E-06,1.34E-06,1.98E-06,1.33E-07,0,1.73E-07,1.03E-06
SAE3_15,5.06,5.45,0.024541608,0.004393088,0.023123566,2.12E-06,0.013608239,2.22E-05,1.36E-06,0.003373265,0.001068563,4.40E-05,0.002602251,0.000751009,6.83E-05,1.00E-05,0,0.031312223,5.09E-06,4.09E-06,3.25E-06,2.67E-07,1.67E-07,1.57E-08,8.56E-07
SAE3_16,4.97,5.36,0.024174894,0.004174474,0.025762045,2.04E-06,0.013632973,2.22E-05,1.80E-06,0.003466605,0.001203892,6.64E-05,0.002681969,0.000757493,0.000116701,1.52E-05,0,0.03093458,4.19E-06,6.69E-06,4.63E-06,2.40E-07,0,1.57E-08,1.43E-06
SAE3_17,4.87,5.26,0.024372355,0.004351447,0.030711242,2.58E-06,0.013608455,2.14E-05,2.25E-06,0.003484089,0.000791193,8.87E-05,0.002588005,0.000748991,9.10E-05,9.56E-06,0,0.031305002,5.20E-06,1.89E-05,1.87E-06,2.94E-07,0,0,1.12E-06
SAE3_18,4.77,5.19,0.024372355,0.004341037,0.018452966,1.96E-06,0.013522936,2.20E-05,2.09E-06,0.003547271,0.00067006,9.57E-05,0.002573069,0.000742939,9.63E-05,8.88E-06,0,0.031672988,6.56E-06,1.97E-05,5.11E-06,3.11E-07,0,0,1.21E-06
SAE3_19,4.84,5.2,0.024203103,0.004309806,0.013176008,2.27E-06,0.013541128,2.17E-05,1.68E-06,0.003548659,0.000521956,0.000128344,0.002630742,0.000737608,9.70E-05,8.55E-06,0,0.031739147,2.48E-06,2.10E-05,2.16E-06,2.31E-07,0,0,1.18E-06
SAE3_20,4.54,4.94,0.024231312,0.004309806,0.02725336,2.23E-06,0.013515879,2.09E-05,2.24E-06,0.003690379,0.000348104,0.000133608,0.002683043,0.000741066,9.15E-05,7.37E-06,0,0.031184863,4.60E-06,2.03E-05,4.91E-06,-8.90E-09,1.04E-07,0,1.12E-06
SAE3_21,4.43,4.87,0.024400564,0.004382677,0.030268764,2.08E-06,0.013575216,2.10E-05,1.26E-06,0.003379093,0.000231163,0.00012564,0.002680332,0.00074366,8.01E-05,6.37E-06,0,0.031240148,5.37E-06,1.12E-05,3.41E-07,5.96E-07,8.36E-08,0,9.82E-07
SAE3_22,4.49,4.91,0.024541608,0.004393088,0.046197968,2.54E-06,0.013603828,2.26E-05,1.82E-06,0.003523589,0.000243762,0.000136526,0.002702916,0.000792219,9.98E-05,7.74E-06,0,0.03146381,7.63E-06,2.03E-05,2.39E-06,4.80E-07,4.39E-07,0,1.22E-06
SAE3_23,4.4,4.9,0.024513399,0.004393088,0.021566699,0,0.013486568,2.17E-05,1.86E-06,0.003545791,0.00017515,0.000126822,0.002719054,0.000760807,7.78E-05,6.04E-06,0,0.031516572,6.13E-06,2.46E-05,1.70E-08,4.18E-07,-8.36E-08,0,9.93E-07
SAE3_24,4.34,4.84,0.024456982,0.004351447,0.021763356,0,0.013561884,2.08E-05,1.95E-06,0.003510638,0.000156836,0.000122757,0.002676394,0.000748991,7.47E-05,5.53E-06,0,0.03143806,5.12E-06,2.52E-05,1.69E-06,6.76E-07,0,0,9.13E-07
SAE3_25,4.35,4.9,0.024344147,0.004309806,0.020337594,0,0.013580692,2.08E-05,1.48E-06,0.003556984,0.000151472,0.000122131,0.002664783,0.000750144,7.38E-05,5.28E-06,0,0.030979904,4.25E-06,2.28E-05,1.74E-06,3.02E-07,0,0,9.24E-07
SAE3_26,4.36,4.93,0.024880113,0.004424318,0.016076696,0,0.013537683,2.07E-05,1.39E-06,0.003497965,0.000151248,0.000129203,0.002631151,0.000760231,7.46E-05,5.46E-06,0,0.031401174,2.91E-06,2.29E-05,8.35E-07,3.83E-07,0,0,9.36E-07
SAE3_27,4.33,4.88,0.024287729,0.004341037,0.013946247,0,0.013575466,2.04E-05,1.61E-06,0.003447364,0.000139995,0.000120734,0.002710537,0.000745821,7.09E-05,5.02E-06,0,0.031188691,3.04E-06,2.50E-05,2.78E-06,1.16E-07,2.51E-07,0,9.13E-07
SAE3_28,4.32,4.85,0.024598025,0.004393088,0.020140937,0,0.013516395,2.22E-05,1.76E-06,0.003580389,0.000133209,0.000118782,0.002656266,0.000748127,6.84E-05,4.97E-06,0,0.031535276,4.01E-06,2.19E-05,3.92E-07,3.74E-07,3.34E-07,0,9.02E-07
SAE3_29,4.34,4.81,0.024428773,0.004403498,0.025696493,0,0.013531957,2.14E-05,1.72E-06,0.003460592,0.00014259,0.000133124,0.002753171,0.000820029,7.34E-05,4.91E-06,5.23E-06,0.031030144,3.82E-06,2.19E-05,1.64E-06,2.14E-07,8.56E-07,0,9.70E-07
SAE3_30,4.2,4.91,0.02448519,0.004382677,0.006063586,2.93E-07,0.013515313,2.14E-05,1.64E-06,0.003464477,0.000133234,0.000124584,0.002616598,0.000788184,7.06E-05,5.21E-06,4.74E-06,0.03170622,3.91E-06,2.19E-05,1.57E-06,1.51E-07,-8.36E-08,0,8.79E-07
SAE3_31,4.27,4.92,0.02448519,0.004382677,0.008357915,0,0.013581891,2.14E-05,8.21E-07,0.003442831,0.000106886,7.97E-05,0.002618798,0.000785591,5.49E-05,3.57E-06,6.38E-06,0.031479556,1.68E-06,2.23E-05,6.68E-06,-8.90E-09,9.82E-07,0,7.19E-07
